0_albert_bourla|THE FOLLOWING IS A CONVERSATION WITH ALBUD BERLA|THE FOLLOWING IS A CONVERSATION WITH ALBUD BERLA
1_albert_bourla|CE O O PHISER|CE O O PHISER
2_albert_bourla|BUT IF NOT|BUT IF NOT
3_albert_bourla|PLEASE ALLOW ME TO SAY A FEW WORDS|PLEASE ALLOW ME TO SAY A FEW WORDS
4_albert_bourla|ABOUT TRUTH|ABOUT TRUTH
5_albert_bourla|AND HUMAN NATURE|AND HUMAN NATURE
6_albert_bourla|THE FIRST GROUP WILL TELL YOU THAT ONLY THEY POSSESS THE TRUTH|THE FIRST GROUP WILL TELL YOU THAT ONLY THEY POSSESS THE TRUTH
7_albert_bourla|THE SECOND GROUP TOO WILL TELL YOU THAT ONLY THEY POSSESS THE TRUTH|THE SECOND GROUP TOO WILL TELL YOU THAT ONLY THEY POSSESS THE TRUTH
8_albert_bourla|THAT THE GOVERNMENT WILL HURT YOU|THAT THE GOVERNMENT WILL HURT YOU
9_albert_bourla|BOTH GROUPS HAVE THE BENEVOLENT|BOTH GROUPS HAVE THE BENEVOLENT
10_albert_bourla|AND THE MALEVOLENT|AND THE MALEVOLENT
11_albert_bourla|THEIR HEROES AND THEIR CHARLATANS|THEIR HEROES AND THEIR CHARLATANS
12_albert_bourla|AND I THINK THE HARD TRUTH|AND I THINK THE HARD TRUTH
13_albert_bourla|IS THAT NO ONE IN THIS WORLD CAN TELL YOU WITH ABSOLUTE CERTAINTY WHICH IS WHICH|IS THAT NO ONE IN THIS WORLD CAN TELL YOU WITH ABSOLUTE CERTAINTY WHICH IS WHICH
14_albert_bourla|YOU HAVE TO USE YOUR MIND|YOU HAVE TO USE YOUR MIND
15_albert_bourla|THIS IS THE BURDEN OF BEING HUMAN|THIS IS THE BURDEN OF BEING HUMAN
16_albert_bourla|OF BEING FREE|OF BEING FREE
17_albert_bourla|DON'T BLINDLY FOLLOW ANY LEADER|DON'T BLINDLY FOLLOW ANY LEADER
18_albert_bourla|AND THEN|AND THEN
19_albert_bourla|THERE'S THE LESSONS OF HISTORY|THERE'S THE LESSONS OF HISTORY
20_albert_bourla|VACASINES HAVE SAVED HUNDREDS OF MILLIONS OF LIVES IN THE PAST CENTURY|VACASINES HAVE SAVED HUNDREDS OF MILLIONS OF LIVES IN THE PAST CENTURY
